"Id_images";"Aesthe";"Color_heterogeneity";"Complexity";"Color_saturation";"Brightness";"PCA_col_1";"PCA_col_2";"PCA_col_3";"Contrast";"Self_similarity";"Green_fraction";"Gray_fraction";"Blue_fraction"
"001_1_52759182023_o";1634,813;13,3646883508857;39,6409175238305;0,152194235215992;0,511576943129995;2,67706530047212;-1,65536561034099;-0,720144053241119;0,245956165041854;-0,533613108835009;0,183321541950113;0,40254693877551;0,0505578231292517
"002_1_52758154022_o";1572,127;13,9376397870449;32,6812558214007;0,16611822389058;0,408145448725741;-0,165206305683355;6,50907413241656;0,403334181174975;0,179443290292181;-0,577124160446803;0,290942403628118;0,142701133786848;0,00072562358276644
"003_1_52758154042_o";1678,453;14,6523915412463;42,1181362126644;0,134828437239349;0,638449987936499;-3,47952247373487;-0,81814840945912;-1,49042629924659;0,202645776377987;-0,581197456123596;0,098053514739229;0,402684807256236;0,0129197278911565
"004_1_52759103020_o";1667,962;18,4411944419094;40,3372605118132;0,2050601928441;0,578410034597754;1,12771066219128;-1,22358032903555;1,3230834409532;0,280002577012602;-0,519637864540235;0,158381859410431;0,185102947845805;0,161683446712018
"005_1_52758696951_o";1723,075;23,3858203999696;29,7866444238146;0,178876880823413;0,550248582244994;2,2637537847552;-2,16174245188212;0,829233909937337;0,202785624653461;-0,687329669571615;0,144979591836735;0,379522902494331;0,0632961451247166
"006_1_52758154102_o";1959,125;23,7975190083483;34,2963179211874;0,273073601769309;0,485256118741987;1,24621508125668;1,17565433777731;0,708313453208236;0,251562755796803;-0,603413340056029;0,164132426303855;0,295459410430839;0,151698866213152
"007_1_52759103040_o";1552,788;21,3934938977833;32,5781654394592;0,181635047011592;0,525233157828397;2,85800767368031;-0,655454995260931;0,246517126780523;0,235768499565445;-0,883504445692811;0,16635283446712;0,434202267573696;0,0347210884353742
"008_1_52759103075_o";1537,662;19,6974772534377;37,8475035842647;0,256381720560908;0,489022075498082;2,85430394576886;-0,379881460093421;0,7004747339587;0,213161763680824;-0,512792124414459;0,177785034013605;0,406189569160998;0,130771882086168
"009_1_52758945894_o";1337,463;13,5269702524192;31,6253767285885;0,132195637630449;0,567899202487509;1,83387593420595;-2,34896842494247;0,889704513492859;0,225651128333388;-0,679147029417571;0,077902947845805;0,36368253968254;0,0353705215419501
"010_1_52759182143_o";1760,025;13,1482258870679;41,8995337755748;0,125847440893386;0,470915861554169;3,04621683463672;2,05844177677035;0,54711937740942;0,256293205088084;-0,728011646199819;0,24747029478458;0,259501133786848;0,00803265306122449
"011_1_52758697036_o";1366,38;17,8594718912942;27,2906497584057;0,0897778437134653;0,620249403303539;-2,1561636010921;-2,28440586089735;-0,648644473249028;0,219172368132028;-0,727578636288866;0,0989895691609977;0,424580498866213;0,0710312925170068
