"name";"contrast";"complexity";"self_similarity";"symmetry_v";"symmetry_h"
"001_1_52759182023_o";0,245956165041854;0,767472913630552;-0,533613108835009;0,444867722472097;0,479145990879329
"002_1_52758154022_o";0,179443290292181;0,717691513864016;-0,577124160446803;0,452319116148806;0,129062010518036
"003_1_52758154042_o";0,202645776377987;0,783675190746528;-0,581197456123596;0,250755024316743;0,18096870323036
"004_1_52759103020_o";0,280002577012602;0,717229903641887;-0,519637864540235;0,12806434636563;0,165061012879263
"005_1_52758696951_o";0,202785624653461;0,790212654887147;-0,687329669571615;0,236323387933174;0,135531330921106
"006_1_52758154102_o";0,251562755796803;0,763619314158383;-0,603413340056029;0,302776890740628;0,40150326402606
"007_1_52759103040_o";0,235768499565445;0,758827993397282;-0,883504445692811;0,590449311967895;0,299925033227724
"008_1_52759103075_o";0,213161763680824;0,83343363084233;-0,512792124414459;0,37799733115654;0,483929972832322
"009_1_52758945894_o";0,225651128333388;0,755831152164614;-0,679147029417571;0,551583685957489;0,15737476153029
"010_1_52759182143_o";0,256293205088084;0,734623666828593;-0,728011646199819;0,533907759762527;0,0906795165959531
"011_1_52758697036_o";0,219172368132028;0,693794121840931;-0,727578636288866;0,455991841458425;0,127379974707322
"012_1_52759182198_o";0,232970403068707;0,765158820501294;-0,424016176716436;0,222468385087855;0,574683408328749
"013_1_52758945999_o";0,192625310715729;0,690083114008058;-0,637562839230018;0,14168473008856;0,201551648617863
"014_1_52759182243_o";0,193254071982033;0,829298473302737;-0,590275530829303;0,357127534617438;0,361450673312312
"015_1_52758946069_o";0,222300610901908;0,830714722465917;-0,525119091556703;0,0822911867801771;0,0547632953117941
"016_1_52758946104_o";0,264387729744358;0,782996067854286;-0,552203777879947;0,623738845341092;0,571790119565331
"017_1_52759103340_o";0,221439617050598;0,6781706701082;-0,634957045111274;0,461367519363734;0,225516695169577
"018_1_52759182328_o";0,234151951563888;0,81756003953897;-0,580512731192954;0,111895966872406;0,199657724270354
"019_1_52758946139_o";0,263092696295826;0,790270658265844;-0,593550912743033;0,295848033871161;0,0552930451339038
"020_1_52758154347_o";0,239117505252509;0,858399251756415;-0,529638635109213;0,359735975498066;0,276720965121825
"021_1_52759103440_o";0,239717967919888;0,81113254013713;-0,724602830258407;0,380061168003013;0,266749546674078
"022_1_52758697351_o";0,195390877395629;0,743782158644074;-0,613510672076175;0,151603078456342;0,233402990003558
"023_1_52758946194_o";0,208965102288064;0,771221381978834;-0,435040819085607;0,341544778166698;0,252093659784009
"024_1_52758697366_o";0,21429329064546;0,789405441200283;-0,426218934707748;0,411991341902429;0,367784270007689
"025_1_52758154422_o";0,194681786142309;0,754410069386542;-0,616998966765571;0,320478998134589;0,183920231368242
"026_2_52758697421_o";0,255319888452513;0,810459459263502;-0,690118368577228;0,0333759715426073;0,304214073798424
"027_2_52758697471_o";0,245600643215205;0,748218208710657;-0,751289621334978;0,0950284355024444;0,398571908097712
"028_2_52759103595_o";0,197532573948911;0,619047101160309;-0,674408486886884;0,605488930719217;0,084857753455812
"029_2_52759182498_o";0,256283915272454;0,792850600214129;-0,546280471406722;0,327312312056942;0,156047873151351
"030_2_52758154492_o";0,235841134118406;0,768539934117829;-0,769580865216674;0,16322083612465;0,177226071971667
"031_2_52758946379_o";0,266500882254117;0,778064572261334;-0,499014712804714;0,434056710269139;0,386453400319786
"032_2_52758697576_o";0,227809404374147;0,760293787113099;-0,67732028127084;0,401641618979252;0,0506678109894585
"033_2_52759103705_o";0,305799091487938;0,753544852320981;-0,734310135936736;0,366992780717139;0,423298923139917
"034_2_52758946419_o";0,158352625391187;0,673164253484432;-0,583942171568481;0,292228142059486;0,159485231600021
"035_2_52759103745_o";0,209413446154672;0,771426810611718;-0,764742201470666;0,144323057892467;0,113545719363617
"036_2_52758946474_o";0,230528683383596;0,712885692258241;-0,493633144696444;0,649687443934949;0,425733795750042
"037_2_52758946504_o";0,22308266779286;0,821933252611965;-0,512417553380832;0,222602357142388;0,174335995775325
"038_2_52758154667_o";0,204748058427692;0,703544731480609;-0,494430119576943;0,23981697465374;0,19345271986129
"039_2_52759103815_o";0,191971733975591;0,680925830596299;-0,390021718995059;0,330132025266484;0,235748511653369
"040_2_52758697711_o";0,197074830099045;0,790676681916722;-0,570770446341388;0,0832528733852576;0,313590167004853
"041_2_52759182708_o";0,255519282373947;0,745971786189879;-0,543767130086863;0,563309278600251;0,230442363423989
"042_2_52759182738_o";0,223047729001942;0,76744632874865;-0,523144050257492;0,331861654372654;0,335122284113945
"043_2_52758154742_o";0,237349950430317;0,725190867368024;-0,489643432820115;0,257620460164173;0,146691295442999
"044_2_52758697796_o";0,297199597362803;0,819033083677124;-0,355850105447167;0,372717949895147;0,413541118038549
"045_2_52758946619_o";0,285535217661716;0,698902044377418;-0,64356317839239;0,631871736592477;0,153603309407917
"046_2_52759103955_o";0,162216871028677;0,649750222950487;-0,722927430806808;0,226934118293885;0,365565438630604
"047_2_52758154817_o";0,280270837301614;0,785163944133079;-0,584827227420424;0,296141963596714;0,236309988978652
"048_2_52759103995_o";0,232464243839746;0,731832254228809;-0,38152726022392;0,215477267001309;0,170392282504701
"049_2_52758154867_o";0,274036502880233;0,713812537913667;-0,620688566792171;0,500935775471844;0,336699714105898
"050_2_52759104050_o";0,262437718914155;0,76265138277638;-0,537584885939054;0,335009163039514;0,451571772617677
"076_5_52758946754_o";0,197305751702051;0,718114455167013;-0,0837951901378832;0,460443638476908;0,341485411138268
"077_5_52759182978_o";0,184993451962825;0,697286408599968;-0,417707060815087;0,479349502780205;0,124288513597574
"078_5_52759104140_o";0,243198228076925;0,635114037059325;-0,671673389565395;0,695893135598166;0,448997076131231
"079_5_52758154997_o";0,215803244882488;0,743668568694126;-0,610370239712836;0,168786466968323;0,0870628167306251
"080_5_52759183048_o";0,234980995019709;0,870515915885434;-0,446473129216011;0,207120926775153;0,194995040381157
"081_5_52758698036_o";0,246122645670561;0,886576809765836;-0,468630825399654;0,0577444715193133;0,487973777115401
"082_5_52758155067_o";0,277720628970871;0,863165196039336;-0,563620766820227;0,221111909847461;0,217935803735291
"083_5_52758946914_o";0,232766791700956;0,632958244817761;-0,363418229588568;0,34829267131677;0,211497855695368
"084_5_52758155117_o";0,234574868997667;0,753096534539804;-0,553381930060602;0,309355551168274;0,470909482467977
"085_5_52758946989_o";0,195019947046073;0,877843676060797;-0,399694472119154;0,235224483599459;0,192727439394093
"086_5_52758155217_o";0,219620117463758;0,865942107794446;-0,441816323055909;0,281559327398897;0,0327982264866374
"087_5_52758698151_o";0,19305880126256;0,690116949312297;-0,691932369749917;0,128308728740957;0,176514587608283
"088_5_52758947049_o";0,1771224944123;0,607858491090439;-0,711414428365992;0,404895600922758;0,365183979055905
"089_5_52758155287_o";0,263554102470179;0,712259739129804;-0,330823227904919;0,160139319717261;0,431136841454601
"090_5_52758947109_o";0,226782476218545;0,692555508025009;-0,637755360585309;0,404397126391195;0,181906918542656
"091_5_52758947134_o";0,257046241003223;0,79298231621992;-0,456757469734271;0,514276133567157;0,552787263673421
"092_5_52758698286_o";0,218964896508361;0,745965744171265;-0,399937766742636;0,675765876530741;0,393739162281722
"093_5_52758947204_o";0,22502215420177;0,851436429505352;-0,604858451605946;0,180371863524959;0,142236778233773
"094_5_52758155457_o";0,254740784470743;0,858017396179994;-0,417620228497869;0,162111320748598;0,296097872971298
"095_5_52758698391_o";0,22232336812678;0,78407879758996;-0,46736388613233;0,243176985240008;0,191047656130984
"096_5_52758698416_o";0,282416842546327;0,737480333229411;-0,702334010422287;0,244825096505556;0,343067404942038
"097_5_52758947329_o";0,22793589642964;0,87760320371995;-0,417387417061128;0,131124959299353;0,236021277057656
"098_5_52758155582_o";0,194838044129222;0,823989955748256;-0,366393430011366;0,416666327249763;0,230074401224644
"099_5_52759104705_o";0,182663068764775;0,612244996604386;-0,666820018464336;0,695928985561096;0,329292207455414
