"Image_id";"PCA_col_1";"PCA_col_2";"PCA_col_3";"PCA_col_4"
"001_1_52759182023_o";2,67706530047212;-1,65536561034099;-0,720144053241119;-0,34712578395686
"002_1_52758154022_o";-0,165206305683355;6,50907413241656;0,403334181174975;1,02617289649984
"003_1_52758154042_o";-3,47952247373487;-0,81814840945912;-1,49042629924659;1,01339885706352
"004_1_52759103020_o";1,12771066219128;-1,22358032903555;1,3230834409532;-0,0783827255255586
"005_1_52758696951_o";2,2637537847552;-2,16174245188212;0,829233909937337;0,365898183441591
"006_1_52758154102_o";1,24621508125668;1,17565433777731;0,708313453208236;-1,60377978117496
"007_1_52759103040_o";2,85800767368031;-0,655454995260931;0,246517126780523;0,0337857543234123
"008_1_52759103075_o";2,85430394576886;-0,379881460093421;0,7004747339587;-1,05322551928176
"009_1_52758945894_o";1,83387593420595;-2,34896842494247;0,889704513492859;0,730474768748469
"010_1_52759182143_o";3,04621683463672;2,05844177677035;0,54711937740942;0,416350816663575
"011_1_52758697036_o";-2,1561636010921;-2,28440586089735;-0,648644473249028;1,63656841697133
"012_1_52759182198_o";3,65491414086269;-1,05340072097558;0,105635480646502;-0,557581698344842
"013_1_52758945999_o";-1,82546033703007;-2,07088715581113;0,825525041670213;-0,978504659924439
"014_1_52759182243_o";1,91662258514511;3,60945710210521;1,37199480702486;0,479475846591852
"015_1_52758946069_o";3,0476392901562;1,36564925950044;1,21498241944316;0,362840821872182
"016_1_52758946104_o";1,72314754677443;-0,107398190142623;-0,275543916915027;-0,653874256636796
"017_1_52759103340_o";2,66500147131264;-2,20354324096126;2,0235761389676;0,147000552697474
"018_1_52759182328_o";1,11383553849088;-1,04674885573622;0,179500924350654;-1,09540771638209
"019_1_52758946139_o";0,373938120372541;4,22129605882455;0,393472978048295;-0,629407596584448
"020_1_52758154347_o";2,76416853269221;4,42110425491548;-0,130357497933075;-0,533795418851943
"021_1_52759103440_o";-0,406164682672771;-1,78598008668278;-0,744240438162245;-0,583287124477736
"022_1_52758697351_o";2,74227394493507;-0,551860243530737;-0,353711086243938;0,755741898331201
"023_1_52758946194_o";0,180648967964582;-3,20098766684879;-0,449225248537023;-0,627960661645104
"024_1_52758697366_o";2,18838202921876;5,75176235150825;0,263382604536295;-0,618067564395967
"025_1_52758154422_o";1,98309710135993;-1,97898678878754;0,120137626279299;0,769160666500889
"026_2_52758697421_o";2,88787796996643;3,34735191283595;0,266158918291425;-1,41826518469906
"027_2_52758697471_o";-1,45269799255441;-2,99828474470902;-0,141391646226846;-0,638720962312863
"028_2_52759103595_o";-0,724893581105883;-2,27048739982101;-0,39653093622005;1,27858588848904
"029_2_52759182498_o";3,67467965993229;-1,36397224394257;0,510674613264932;0,0887343364236487
